Repeat,String linear 111 15,String linear 984 99,String binary 111 15,String binary 984 99,Int linear 111 15,Int linear 984 99,Int binary 111 15,Int binary 984 99,Plain map 111 15,Plain map 984 99,Hash map 111 15,Hash map 984 99
0,2793,60063,1816,1397,1955,22419,978,1397,3422,1466,1886,1886
1,978,48540,1397,1467,978,13409,978,908,978,1397,978,1397
2,978,51124,908,1396,1467,10476,978,978,1467,978,1397,1397
3,1397,50216,1467,1467,1397,9428,908,1466,1397,908,978,1397
4,908,50425,978,978,978,9568,978,1467,978,978,978,1467
5,978,50565,1467,1396,978,9847,1397,1397,908,977,1467,908
6,1467,46863,1467,978,908,9010,978,978,1397,1467,978,1397
7,1397,46514,907,978,978,8730,908,978,908,1397,1397,1466
8,978,47073,1397,1466,908,9010,1397,977,978,908,1467,978
9,1396,46165,908,1397,978,9080,978,978,1467,978,977,1467
10,1397,27169,1467,1886,978,8661,1467,1396,1397,1397,1467,1396
11,1396,27238,908,977,978,8591,1466,1397,978,978,1397,978
12,1397,27168,1397,978,978,9079,978,978,977,977,978,1397
13,978,26749,1466,1397,977,8591,908,977,908,978,1467,908
14,1466,27308,1397,978,978,9010,908,908,1467,1467,977,1397
15,978,26819,1467,908,908,8590,908,1397,978,1396,978,1467
16,1467,27029,1396,1467,1397,9079,2375,1397,1397,1467,1397,908
17,908,26959,978,978,1397,9079,1397,978,978,1397,1466,978
18,1397,27168,1397,978,1467,8660,908,978,1397,908,1397,1396
19,1397,27168,1397,1955,1467,8939,1467,908,1397,978,1466,1467
20,977,27168,1397,908,1466,8590,1467,908,1397,1396,1397,1397
21,1397,27238,1397,1397,1397,9149,977,1467,977,978,908,978
22,978,27238,978,977,1467,8450,978,1397,978,977,1397,1397
23,1466,27098,978,1397,908,8172,1397,1396,1397,978,1467,1397
24,978,27168,1466,1397,978,8730,908,1397,1466,978,1467,978
25,978,27098,978,1466,977,8940,908,908,1467,977,908,977
26,1396,27168,977,1467,978,13270,1397,1397,908,1397,1397,978
27,1467,27238,1467,1397,908,9987,1467,977,978,1397,1397,1397
28,977,27238,978,908,908,8870,1396,1397,1396,978,1397,977
29,1467,27168,1397,1467,978,9080,1467,1397,1397,1467,1396,1397
30,978,27168,978,978,977,9080,1467,977,1467,1396,1467,4819
31,1396,27588,977,1397,908,8940,977,1397,1466,1397,978,1467
32,978,27099,1467,978,977,8171,1397,1397,978,908,977,908
33,1397,27029,1397,1467,1467,8101,1466,1397,978,978,1397,1467
34,908,26958,977,1397,1467,7962,908,908,908,978,1397,978
35,1397,27238,1397,1467,1397,8661,978,1397,978,978,908,977
36,1397,27238,908,1396,1397,23257,908,1397,1397,1467,1397,1397
37,908,27168,978,1397,1397,8660,978,1466,1397,1397,908,908
38,1466,27168,1397,1467,1467,8939,977,1467,977,978,1467,1397
39,1467,27238,978,1397,1467,9009,1397,1467,1467,1467,977,978
40,908,27239,1467,907,1466,8660,1397,978,1467,1466,1397,978
41,1467,27238,1467,1397,978,8939,908,1397,1396,1397,1466,1397
42,908,26959,1396,1396,908,8590,1397,1397,908,1466,908,1466
