Repeat,Mora,Sveg,Falköping,Boden,Gällivare,Sundsvall,Uppsala,Sala,Storvik,Östersund,Emmaboda,Uddevalla,Helsingborg,Hallsberg,Skövde,Norrköping,Alvesta,Lund,Hässleholm,Fagersta,Katrineholm,Värnamo,Södertälje,Strömstad,Herrljunga,Umeå,Arboga,Jönköping,Ånge,Eskilstuna,Gävle,Kiruna,Luleå,Örebro,Västerås,Åstorp,Göteborg,Mjölby,Nässjö,Borlänge,Kalmar,Stockholm,Kristianstad,Varberg,Malmö,Linköping,Trollhättan,Avesta,Frövi,Karlskrona,Ludvika,Halmstad
0,933874,7653701,61463,117606161,216615934,4494343,85418,125020,294179,4565722,19874731,330289,314086,31429,27588,12292,2863,1467,1397,149674,17601,453003,19625,581095,39881,32788257,55875,86815,2215497,47145,184246,287614103,141957430,37576,38763,267150,63208,7194,4400,297183,15793303,30312,18865777,253042,978,7055,121247,133471,56363,16616336,315412,208832
1,925772,7089647,49240,116851505,276669244,3925260,82275,129279,240959,4876176,16236248,210437,536536,29055,43442,12432,2794,1397,1397,146950,18578,565381,18928,483106,38205,30292340,65863,77596,2234634,37995,172513,283335646,134579260,31569,34852,277348,61043,5098,2864,257163,16023995,25213,16182748,107349,1397,4750,130258,130048,53290,15416569,309406,199961
2,1273173,7614588,41068,119958482,245732601,5318772,86676,118384,445530,4805983,17793403,208901,339228,27099,25702,10895,2305,978,1397,137591,15365,635015,17251,436870,34293,31416536,61881,71031,2337025,33804,301863,284717843,140681255,26680,32896,230902,59157,5238,2793,251855,17194498,23258,14920332,98060,1467,5308,267081,122994,48820,16521628,299139,201148
3,830367,7735069,37645,121168376,229539447,4631305,82904,120130,352848,4766591,15633640,209669,307589,31429,25563,11105,2863,1397,1886,219099,14667,400411,16204,712820,37645,32497918,54059,68656,2376905,32407,185015,288369598,137440249,23677,32407,217492,61392,5308,2864,262680,16441657,22350,16533082,116080,978,5797,125787,121947,47214,17619494,306682,320650
4,986466,7189313,36318,117338033,230173973,4241929,73056,118175,239143,4604136,15511834,202475,278675,36807,24236,10407,2864,1397,1397,217073,16274,406417,16134,553647,33874,32266668,36808,64884,3006821,32896,173211,284774976,139215874,23816,31919,204361,59367,5727,2794,278535,16255315,21092,15747275,118804,1397,5168,123762,119083,48610,15811322,303888,249061
5,770440,7340664,31499,130682841,270043216,4701707,74383,117825,239213,5457480,15455191,202196,275113,22280,24305,12502,2864,1397,1397,152956,16133,388748,15715,457263,32896,31300666,36668,62021,2396392,32896,173351,291493826,139658820,24375,31500,203453,56783,5657,2863,427930,15248525,21023,16250845,115870,908,4749,112657,120689,46376,16133439,297742,172932
6,929614,6964209,30521,125219283,223094523,4129062,71519,260445,232019,5170984,15212905,182640,273297,25143,140385,10407,2864,1396,1466,132073,14877,519355,16483,437358,33944,31469058,36248,61532,2248534,32966,167763,286679671,140388332,23397,32408,202266,54827,4749,3422,323164,15361881,20394,15676385,116359,1467,5308,111819,119013,45677,15476354,300954,166297
7,1078380,7272985,29614,118186698,214509532,4787753,71589,175236,251575,5552049,15591804,161757,473258,22699,102810,9987,2374,1397,1467,100295,15505,383789,15715,710725,33664,31414650,34922,60065,2224647,30801,179637,284553643,138445783,23048,31011,391681,55386,4330,2863,271550,15606822,20953,15355944,114543,1467,5238,110143,118315,44280,15933966,297742,163433
8,968307,7069183,31011,119511345,216935049,4130878,134797,121597,375058,5315001,15506735,159801,355712,22420,45817,9638,2375,1397,1397,96872,13829,385256,15156,522428,31220,30945094,36249,61043,2123024,30801,174049,284595059,138448297,23607,32897,313456,55316,4260,2305,247594,15427603,20534,15999620,108955,908,5238,110701,117756,45538,16121915,310873,160220
9,1168967,7184984,28846,119644746,222230633,4181235,160011,155401,346562,4822816,15718360,168392,351591,22419,44211,10267,2304,1397,978,102460,14178,387560,14947,446229,31919,31137233,36179,60135,1957846,30521,168532,288322803,146551020,23607,34852,365559,54338,4749,3772,258071,15425647,20743,16032865,107908,1886,4749,111120,119222,43442,15295110,465505,138429
10,1330025,6794350,29334,119937738,218701174,4097703,97640,116289,533253,5220503,17665730,296345,279023,22769,39531,9639,3353,1397,1397,99318,14388,655130,14667,563146,31011,31908022,34782,58249,2042915,32896,170977,287786128,138883281,23886,31010,252833,53500,5168,3353,252623,15645584,21651,15934735,106441,1885,3911,114822,121038,44280,15910429,250039,127394
11,1778069,6970634,30103,123046950,217283147,4372886,92961,114892,296415,5012929,15404485,167554,273227,18229,38763,9988,2864,1816,1397,95825,13690,519843,15366,489113,30032,33132794,34991,48750,2169819,30522,171046,280877723,152473937,22489,31220,205758,53500,5309,2863,247035,18301233,20324,16175554,110632,1467,5238,109933,116847,45328,17685915,232648,128861
12,1232594,6923839,30033,119103252,217181246,4247028,92682,147439,288383,5079210,15358178,163712,270922,18229,37366,9428,2444,1397,1397,101203,14807,382601,14248,447556,30521,31008232,35341,48611,2160601,30522,170557,305866657,145587184,23397,30801,208412,53360,5168,2933,393357,15751396,20534,15744552,87514,908,4819,112727,122156,44699,15471745,217003,127394
