Repeat,Mora,Sveg,Falköping,Boden,Gällivare,Sundsvall,Uppsala,Sala,Storvik,Östersund,Emmaboda,Uddevalla,Helsingborg,Hallsberg,Skövde,Norrköping,Alvesta,Lund,Hässleholm,Fagersta,Katrineholm,Värnamo,Södertälje,Strömstad,Herrljunga,Umeå,Arboga,Jönköping,Ånge,Eskilstuna,Gävle,Kiruna,Luleå,Örebro,Västerås,Åstorp,Göteborg,Mjölby,Nässjö,Borlänge,Kalmar,Stockholm,Kristianstad,Varberg,Malmö,Linköping,Trollhättan,Avesta,Frövi,Karlskrona,Ludvika,Halmstad
0,2863,978,1397,908,978,908,978,978,1466,1397,978,1397,978,908,978,1467,1467,908,908,978,907,908,1397,977,978,908,978,978,908,978,978,977,978,978,977,1397,1467,1397,978,1466,978,1467,1397,977,1466,977,978,1396,1397,978,1467,908
1,1397,1466,978,1396,978,908,1397,1467,1467,977,978,978,978,977,1397,1467,1467,1466,1397,908,1467,1467,978,978,1397,978,978,1397,1397,1397,978,1397,1397,1467,1467,1816,978,908,978,908,1397,1397,1397,1467,1467,1397,1467,978,1466,1397,1466,978
2,1467,1397,1467,1397,978,978,1467,1396,1467,1397,1466,1396,1397,1466,1397,977,1396,978,1467,1466,1466,1467,1466,1466,1396,1466,1397,1397,1467,1397,1466,1396,1397,1466,908,1396,978,1467,1397,1397,1397,1397,1396,1467,978,1397,1397,978,1466,978,978,1397
3,908,1397,1466,908,1397,978,1397,978,978,908,978,1467,1397,908,978,978,1467,1397,1397,978,1397,978,977,1397,908,977,1397,978,1396,978,978,1397,1397,1886,1467,1397,1397,977,1397,907,978,1397,1467,978,1466,1397,1397,1466,1397,1467,1467,1397
4,1397,1397,977,1467,908,1467,1397,1397,1397,1467,1396,1397,1397,1396,1467,1397,1467,1466,1466,1467,1467,1467,1467,978,1397,1397,908,1467,908,1397,1467,908,1397,978,1467,1466,1397,1467,978,978,1467,977,908,1466,1466,1467,908,978,1467,1885,2444,977
5,1397,1397,1397,1467,1397,1396,978,1467,908,1467,978,1397,1467,978,978,1397,1327,1467,978,1396,977,1467,908,1466,978,907,1397,907,977,1397,1466,1397,1397,1397,1397,1397,1396,1467,1466,1397,908,1467,1467,1397,908,1466,1467,1397,1466,908,1397,978
6,908,1396,1396,1466,908,908,1466,978,1466,1397,1397,1397,1466,1466,1466,978,978,1397,1397,1467,1466,1466,1886,1467,908,1467,1397,1397,1467,1467,1397,1397,978,1467,1397,978,1397,1396,1467,1397,1397,1397,1467,1397,1396,1397,1466,1886,978,908,1397,1467
7,1467,978,1467,1467,1396,1466,978,1397,908,1467,1396,1397,908,978,978,1466,1397,977,907,1397,1956,1397,1397,1397,1466,1397,1397,908,1467,908,1397,978,1396,1397,1397,1467,1396,1397,1467,907,1397,1397,1396,908,1397,978,1397,978,1466,978,1397,1466
8,1466,978,1397,978,1397,1467,1467,1397,1397,908,1467,1467,978,1467,1396,978,978,1397,978,1396,1397,1397,1397,1397,978,1397,1466,1467,1467,1397,1397,1396,1467,1397,977,1397,1397,1397,978,1467,1467,908,1467,1466,1467,1397,1466,1397,1467,1396,1397,1397
9,1467,1466,1397,1397,1467,908,977,1466,1397,1466,978,1397,1396,977,1397,1467,1466,1396,1397,978,1397,1466,1397,977,1397,1467,1467,978,1397,1466,1467,1397,1467,1397,1467,1397,908,1467,1397,978,1396,1397,978,1397,1467,1397,978,1397,1397,1397,1467,908
10,1396,908,1397,1397,1466,1467,1467,977,978,1397,1396,977,978,1467,978,908,1467,1886,1466,1396,1397,1397,1467,1397,1466,977,908,1397,1397,978,978,1397,1397,1467,978,977,1466,978,908,1396,978,1397,1466,978,908,1467,1467,1467,1466,1467,1397,1397
11,978,1467,1466,908,978,1467,908,908,1397,1397,908,1467,1397,978,1467,1397,1467,1467,978,1397,1466,1467,1397,1397,908,1467,1466,1467,1397,978,1397,1467,978,1467,978,1397,978,977,1396,978,1467,1467,978,978,1397,1397,977,978,1885,1397,978,1467
12,1466,908,1467,978,1397,1466,1397,1467,1397,1397,1396,1467,1397,1466,908,1467,978,1397,1466,978,1397,1955,1466,1467,908,978,908,1467,978,1397,1467,978,1467,977,978,978,1467,978,1397,1397,1466,1396,1466,978,1466,1397,978,1397,1467,978,1467,1466
13,1397,978,908,1397,908,978,1397,1397,1397,1467,978,908,978,1397,1396,978,1397,1397,978,1396,978,978,1397,1467,1467,1396,1467,1396,1466,978,1466,1396,907,1467,1467,1467,978,1467,907,977,1467,978,908,1397,908,1466,1467,1467,1467,978,1466,908
14,1396,1467,1466,1397,1397,978,1466,1397,1397,1396,1396,1397,1397,907,1467,978,1816,1397,1467,1397,978,1956,1397,977,908,908,1396,978,1397,1467,1397,978,1397,1396,1397,978,1327,1397,1397,1397,908,1467,1397,1396,1467,1467,1467,1396,978,977,908,1467
15,1397,908,1467,977,1397,977,1467,978,1467,1466,908,1397,978,1397,908,908,978,908,1885,1467,1466,1397,1467,1467,1466,1467,908,1466,1467,1397,1467,1467,977,1397,1397,977,1396,1397,1467,1396,1397,1397,978,978,1397,1467,1396,1397,978,1397,1397,978
