Repeat,Mora,Sveg,Falköping,Boden,Gällivare,Sundsvall,Uppsala,Sala,Storvik,Östersund,Emmaboda,Uddevalla,Helsingborg,Hallsberg,Skövde,Norrköping,Alvesta,Lund,Hässleholm,Fagersta,Katrineholm,Värnamo,Södertälje,Strömstad,Herrljunga,Umeå,Arboga,Jönköping,Ånge,Eskilstuna,Gävle,Kiruna,Luleå,Örebro,Västerås,Åstorp,Göteborg,Mjölby,Nässjö,Borlänge,Kalmar,Stockholm,Kristianstad,Varberg,Malmö,Linköping,Trollhättan,Avesta,Frövi,Karlskrona,Ludvika,Halmstad
0,6635,4679,2793,4889,3842,4330,2444,2304,2444,3282,1955,2374,1397,2864,2305,2863,978,908,1397,5727,2864,1885,2305,2444,2863,3702,2863,2444,3352,82274,5308,4330,2934,2863,4400,1466,2374,2445,2794,3911,2863,3283,2444,3352,1397,2444,2933,5308,2934,2445,2864,977
1,5797,2794,4260,5168,5238,4819,3771,3771,4889,4819,1955,2863,1397,4261,2374,2444,1396,1466,978,4679,2793,1397,2305,2444,2444,4749,3422,2374,4261,57061,4749,3841,3283,2444,4330,908,1397,2375,2375,2863,3352,2374,2444,2864,908,1397,2444,4819,2375,2375,2445,1397
2,6216,2375,2794,2374,2794,2863,3701,4749,3772,5308,1885,3352,2864,3283,2375,2374,1956,1467,1886,4330,2794,1396,2864,2793,3771,3771,6216,2444,5308,6216,5238,3422,1886,2375,5587,1466,2374,1396,1886,2794,3841,3352,1396,2864,908,2375,4261,4679,2864,1396,3353,2793
3,4330,2934,1397,2864,2305,2794,2864,2444,3213,3771,2794,2444,1466,2863,978,1397,1396,3283,1467,4401,2864,1397,2375,3702,2305,2375,3841,2863,3771,3911,4331,3772,2933,2445,4190,2864,1397,1397,1886,2864,3282,3422,1467,2794,907,2445,3282,4749,2793,2794,2864,1955
4,5169,2864,1466,2864,2375,2863,2864,2863,2863,2375,1886,2375,1955,1886,1467,1466,2864,908,908,3771,2864,1397,2444,2863,2305,2933,2794,2864,3213,2794,5657,2793,4260,2933,3771,978,1467,1816,1956,2375,2794,2863,1885,2794,1467,1885,2444,4260,2864,908,2863,1466
5,3423,2375,1467,2445,2863,2864,2445,2374,4260,2305,1467,1397,1886,2445,1397,2445,978,1397,1467,4260,1466,1466,2863,2863,2863,2864,2375,2305,3353,2864,4749,5168,5797,2864,4400,1467,1467,1467,2375,2445,2445,3282,2864,2863,908,1397,2793,3911,2794,1886,2863,1397
6,3911,2444,1397,2864,2444,2374,2864,2794,2444,2933,1397,2793,1397,2445,74661,2375,1955,977,1955,3842,1466,1397,2374,2933,1886,2794,2374,1886,2864,2375,5238,5238,5238,2305,3842,1466,1466,1467,1397,2934,1956,3213,2445,2933,1397,1396,1467,4261,2863,978,2863,1397
7,3771,2793,1397,2864,2863,2933,2794,2375,2863,2444,1886,3283,1886,2375,50566,2444,1885,1956,1397,3353,978,1467,2794,2374,1397,2374,1397,1397,3353,2794,4889,4819,5168,2863,3282,1397,1886,1466,2305,3283,4400,2864,1467,2933,978,1467,1956,2794,2444,1466,2933,1397
8,14248,2375,1397,2793,2863,4260,3701,3842,2793,3422,2445,2864,1956,1885,6146,2444,1467,1397,1397,4750,2375,1466,2375,2445,1466,2793,2375,1885,3422,2933,5168,5658,5238,1886,4260,1397,1397,1466,1886,3212,3352,2375,1466,2863,13619,1467,1397,3282,2375,2864,2863,1467
9,4401,2375,2863,5308,5168,4609,3771,3912,2794,2793,2375,3842,1466,3282,7613,2863,1956,1397,1886,3841,2793,2305,2864,2445,1397,2863,2863,1886,2864,2864,4819,4191,5238,2375,5168,1816,1397,1397,2374,2863,2794,2933,1466,1956,1467,908,2863,2863,4191,2305,2864,1885
