Repeat,Malmö-Göteborg,Göteborg-Stockholm,Malmö-Stockholm,Stockholm-Sundsvall,Stockholm-Umeå,Göteborg-Sundsvall,Sundsvall-Umeå,Umeå-Göteborg,Göteborg-Umeå,Malmö-Kiruna
0,4261,3841,3772,4819,3353,5727,2375,8520,5867,11454
1,2934,3352,2934,3771,3283,5168,1956,4400,5657,5797
2,1886,2793,2934,3352,2863,4889,1885,4330,4749,5727
3,1955,2794,2864,3353,3422,5238,2375,4260,5657,5797
4,1886,2445,2375,4750,3352,4680,1467,4750,3841,4749
5,1886,2375,2863,1956,3352,4260,2794,4261,4819,5657
6,1955,2374,2864,2445,3212,4819,1885,4330,4190,5727
7,2375,2444,2864,2375,2864,5239,1467,4330,4330,5378
8,1956,2863,2863,2863,2934,5657,978,3352,5239,4750
9,4330,2864,2444,3352,3353,4749,1955,4260,5797,5658
10,3772,2864,2374,3353,3283,8171,1886,4330,10756,6216
11,1886,2863,2794,3353,2375,5238,1886,3911,4749,4889
12,1955,2863,2375,2934,2444,4679,2444,3771,4819,6146
13,1886,2863,2444,2864,2864,8660,2375,4330,6146,5098
14,1885,2933,2374,2863,3353,4889,1956,4260,4610,7543
15,2445,2794,2444,3422,3911,5169,1956,4819,4261,5796
16,4749,2794,2863,3282,3352,5169,2375,5308,5308,5657
17,908,4819,2375,2933,2794,5238,1885,4679,4330,4679
18,1885,2863,2794,2933,3352,4680,2305,5657,5797,5657
19,1886,2444,2374,2863,3282,5727,1886,5308,6147,4819
20,1886,2444,2374,3283,2863,4819,2374,5308,5238,6216
21,1886,1886,2445,2305,3352,4680,2444,4190,5797,6076
22,1956,2794,2444,2374,3282,5658,978,5727,4261,5657
23,1886,2863,2375,2863,3212,4330,1467,9568,4191,5797
24,1955,2863,2375,2933,2864,5797,1886,4331,5727,6146
25,1955,2305,2305,3282,2864,5727,1886,3702,4819,5658
26,1886,2864,1886,2794,3422,5657,2794,3771,4191,6216
27,1955,2934,2374,2864,2375,5797,978,4261,4331,5797
28,1886,2863,2863,2794,1886,3842,11105,4889,7124,6635
29,1956,2794,2864,2863,3282,4819,2375,4819,5797,6076
30,1886,2794,5657,2863,2863,5168,2305,4679,5657,5797
31,1955,2863,2794,2863,3353,5797,1466,4819,5238,5727
32,2374,2444,2375,2864,2864,5238,1467,4330,5657,5727
33,1886,2864,2793,3282,3353,5308,1816,4331,5867,5727
34,1397,2864,2375,2863,176212,5727,1397,3772,5587,6286
35,1397,2445,2445,2864,3772,5867,978,3772,5238,4750
36,1467,2863,2375,1956,2934,5168,2374,3772,5727,6146
37,1886,2304,2794,2375,3353,5238,1397,4190,5308,6146
38,1956,2375,2793,2933,2375,4749,1327,4820,5658,6286
39,1886,2445,2863,2863,2793,3842,2375,4191,5727,6146
40,1886,2445,2375,3282,2445,5727,1397,3702,4749,5657
41,1885,2864,1956,3353,2864,4190,1397,3771,5378,5727
42,1816,4749,1955,3353,5308,5308,1886,3352,5238,5867
43,2374,2863,2793,2864,5238,4330,2375,3422,4191,5657
44,2375,2863,2863,3283,4750,5308,2445,4819,4819,5169
45,2445,2374,2305,3283,5239,5657,2374,3353,4330,6146
46,1886,2863,2375,2794,5308,5238,1885,3771,10406,6705
47,1816,2794,2933,4749,5168,4749,908,3771,4679,6566
48,1886,2375,2933,3353,5098,3911,2374,3841,5238,4680
49,1886,3353,2374,3353,4260,5727,1955,3842,4819,5658
50,1886,3841,2794,3352,4749,5098,1397,3283,4819,5308
51,1886,3912,2864,2863,4260,4749,908,3702,5238,5727
52,1956,3772,2794,2375,5308,5727,1466,4260,5657,5587
53,978,4749,2374,2864,7962,5308,1956,3422,3841,6146
54,2374,3772,2933,3353,5308,5099,1886,3842,5308,8661
55,1467,3842,2863,2864,4819,5239,1886,3772,4749,6635
56,1886,4400,2305,2863,4749,5727,978,4680,4749,6635
57,1816,3771,2794,3282,5098,5238,1466,3841,5238,127391
58,1886,4260,2444,3282,4819,5238,1397,4400,5377,7753
59,1886,3283,2374,2864,4889,4750,1397,3771,5168,6496
60,1955,3841,2375,2934,4260,4261,1885,4679,3841,5797
61,1955,4330,4819,2864,4260,5308,1467,3771,5657,5797
62,4749,4330,2863,2864,4679,4749,1886,4330,4400,6635
63,4190,5657,2794,3283,4819,4330,1885,3911,4749,6495
64,2375,3841,2794,2863,4331,4679,1886,4331,5797,6146
65,1886,4330,2375,3282,3772,4819,1886,4750,4260,6286
66,1955,3911,2374,1955,4331,4819,2445,4819,4819,6216
67,1955,2794,2444,2374,5239,5657,908,3911,5239,5657
