Test,Size,"Min, us","Max, us","Mean, us","lg2(Size), us","Median, us",min,max,mean,,median
DuplicatesNaive,100,2.9,123.1,4.3,,4.7,,,,,
,200,10.8,28.6,12.2,,13.2,,,,,
,300,23.5,158.5,24.0,,26.6,,,,,
,400,41.1,121.6,42.2,,51.0,,,,,
,500,64.2,222.2,65.1,,72.2,,,,,
,600,91.3,276.6,176.0,,107.1,,,,,
,700,124.0,290.5,152.0,,135.5,,,,,
,800,161.1,355.9,162.2,,169.2,,,,,
,900,201.1,444.3,210.1,,227.7,,,,,
,1000,247.9,661.2,250.4,,269.6,,,,,
,1100,300.7,721.3,313.7,,348.6,,,,,
,1200,356.3,779.7,363.4,,391.1,,,,,
,1300,416.5,969.2,424.1,,442.8,,,,,
,1400,482.4,1046.5,488.7,,516.3,,,,,
,1500,550.8,1258.9,560.4,,616.2,,,,,
,1600,631.7,1396.7,677.3,,724.3,,,,,
,10000,24094.7,48200.0,24189.8,,25707.5,,,,,
,100000,2519113.5,2868641.2,2698597.2,,2725394.4,,,,,
,1000000,272948271.7,350706438.4,340487975.2,,314833691.6,272948.271653,350706.438371,340487.975172,,314833.691617
DuplicatesBinary,100,0.9,16.6,1.9,,1.9,,,,,
,200,1.4,57.2,2.3,,3.0,,,,,
,300,2.8,71.5,3.8,,4.5,,,,,
,400,3.8,47.6,6.9,,7.0,,,,,
,500,5.2,55.8,10.0,,10.5,,,,,
,600,9.4,65.7,11.7,,12.5,,,,,
,700,7.1,226.9,14.5,,13.7,,,,,
,800,7.6,208.9,9.1,,13.5,,,,,
,900,8.9,129.7,10.4,,11.8,,,,,
,1000,10.4,83.5,11.7,,15.9,,,,,
,1100,11.5,202.4,19.8,,20.0,,,,,
,1200,13.5,141.3,19.5,,22.9,,,,,
,1300,14.2,141.7,38.7,,25.4,,,,,
,1400,16.8,178.6,20.4,,28.8,,,,,
,1500,21.4,223.8,42.5,,38.2,,,,,
,1600,23.3,158.3,28.1,,39.2,,,,,
,10000,354.2,663.9,515.4,,408.1,,,,,
,100000,4104.4,5470.9,5335.6,,4758.1,,,,,
,1000000,44489.2,50331.2,44807.7,,46253.1,44.48918,50.331161,44.807728,,46.2531304
DuplicatesSmart,100,0.9,46.9,1.4,,1.6,,,,,
,200,0.9,42.1,2.2,,1.9,,,,,
,300,0.9,46.7,1.9,,2.1,,,,,
,400,0.9,46.8,1.2,,2.2,,,,,
,500,1.4,47.3,2.9,,3.0,,,,,
,600,1.4,44.9,2.7,,3.1,,,,,
,700,1.9,53.5,2.6,,4.1,,,,,
,800,2.3,106.0,4.7,,5.2,,,,,
,900,2.4,102.1,5.3,,5.2,,,,,
,1000,2.8,52.5,4.1,,4.8,,,,,
,1100,3.4,134.7,5.4,,6.3,,,,,
,1200,2.8,71.2,4.1,,5.4,,,,,
,1300,2.9,123.6,3.8,,6.0,,,,,
,1400,3.7,149.3,4.5,,7.9,,,,,
,1500,3.4,155.5,8.0,,7.2,,,,,
,1600,3.7,113.6,7.3,,7.3,,,,,
,10000,35.2,1114.7,40.8,,59.4,,,,,
,100000,637.7,1001.7,637.7,,767.6,,,,,
,1000000,6768.9,7338.6,7199.4,,7110.0,6.76892,7.33862,7.199355,,7.1100416
