#,Selection 75000,Insertion 75000,Merge 75000,Merge2 75000,Selection 100000,Insertion 100000,Merge 100000,Merge2 100000,Selection 250000,Insertion 250000,Merge 250000,Merge2 250000
0,737.776945,737.776945,5.507980,5.052474,1289.691143,1289.691143,7.644363,6.754442,8083.545032,8083.545032,20.552753,18.477552
1,723.466772,723.466772,5.849506,5.056944,1310.367375,1310.367375,7.725099,6.853128,8150.235920,8150.235920,20.512524,18.392624
2,721.849663,721.849663,5.581104,5.014341,1324.329185,1324.329185,7.742630,6.953002,8150.823565,8150.823565,20.272479,18.401075
3,714.047250,714.047250,5.785182,5.953849,1308.846235,1308.846235,7.796617,6.846773,8108.999042,8108.999042,20.665407,18.599355
4,713.115915,713.115915,5.476551,5.499530,1306.633380,1306.633380,8.152320,6.809197,8106.103196,8106.103196,20.968100,18.841915
5,716.086694,716.086694,5.548489,5.010639,1284.743729,1284.743729,7.718744,7.288450,8148.959966,8148.959966,20.268568,20.939884
6,720.249738,720.249738,5.525580,5.060995,1312.105888,1312.105888,7.799131,6.764010,8126.722487,8126.722487,20.173723,22.000078
7,739.115187,739.115187,5.692642,5.047167,1286.258249,1286.258249,7.749684,6.795928,8093.684853,8093.684853,20.249711,19.838833
8,731.096475,731.096475,5.659187,5.504977,1285.678569,1285.678569,7.842643,6.830639,8106.896617,8106.896617,20.173513,19.241827
9,727.021923,727.021923,5.588717,5.352233,1280.411685,1280.411685,7.664057,6.923249,8069.564841,8069.564841,20.018395,19.352246
