repeat,lookup-100,lookup-1000,lookup-5000,lookup-10000,lookup-50000,lookup-100000,lookup-500000,lookup-1000000,add-100,add-1000,add-5000,add-10000,add-50000,add-100000,add-500000,add-1000000
0,11,92,554,1098,8812,19588,200201,583101,957,1009,1092,1170,1833,2085,4739,6544
1,12,93,550,1124,9271,20234,199893,589205,1045,1043,1171,1176,2141,2606,4133,6683
2,11,97,634,1206,8970,20838,199808,580318,1087,1076,1608,1160,1903,2244,4921,6876
3,10,140,500,1249,9940,20371,202289,607273,1234,1503,1098,1853,2027,2220,4993,7304
4,10,100,748,1265,8602,19726,209484,586654,977,1283,1101,1347,2015,2087,4791,5605
5,13,129,524,1151,8649,20282,210329,623355,1042,1483,1402,1212,1922,2240,3997,6554
6,11,103,513,1105,8510,20182,200316,611387,1002,1313,1377,1234,2071,2149,4283,7450
7,12,99,778,1130,8813,19984,213020,614579,1142,1277,1689,1199,2142,2264,4287,6541
8,11,105,640,1450,8997,19986,210984,595794,1130,1313,1401,1320,1982,2128,3460,6101
9,11,98,538,1179,8997,19984,202295,607546,1228,1271,1754,1209,1915,2138,4552,6716
10,11,112,522,1110,9569,20325,207927,582520,964,1280,1399,1297,2060,2206,4205,6698
11,11,100,535,1259,9305,20254,208792,588219,1701,1302,1339,1323,2158,2212,5144,7444
12,11,97,518,1120,9480,20557,208905,605111,1009,1247,1589,1194,2025,2243,4555,6244
13,13,193,736,1128,9536,20320,215205,644324,1000,1331,1670,2558,2319,2204,4011,6868
14,11,102,518,1139,11878,20172,203062,621690,970,1326,1413,1212,2293,2222,3636,5603
15,10,95,715,1170,8872,20322,202944,620848,971,1034,1527,1285,1895,2275,4263,6576
16,10,116,568,1100,8542,19874,202416,618906,965,1007,1102,1217,1989,2334,4773,6267
17,14,96,686,1099,8728,19781,196180,614339,1276,992,1247,1216,1911,2142,4126,6055
18,10,98,496,1140,9346,19912,210959,599695,1030,1099,1122,1225,1837,2153,5040,5764
19,10,95,501,1159,8546,20271,205518,629154,1008,1066,1094,1224,1953,2263,4130,8444
20,11,98,538,1102,8667,21000,201278,602185,1000,1074,1172,1169,1815,2112,4807,5904
21,11,98,490,1095,8824,21144,201861,618002,966,1024,1120,1201,1939,2130,3782,6433
22,17,96,544,1123,8709,20307,200082,589327,1378,1002,1110,1325,2050,2102,4968,5687
23,11,167,504,1205,8949,21029,213886,617047,1178,1311,1126,1180,1973,2218,4449,6944
24,10,94,500,1245,9113,20637,212512,586435,995,1222,1123,1418,1975,2114,4256,5772
