repeat,lookup-100,lookup-1000,lookup-5000,lookup-10000,lookup-50000,lookup-100000,lookup-500000,lookup-1000000,add-100,add-1000,add-5000,add-10000,add-50000,add-100000,add-500000,add-1000000
0,11,98,546,1102,8662,21222,196255,593791,12,122,577,1209,7618,19699,160484,437305
1,11,97,503,1233,8967,21110,195578,581118,12,124,598,1369,8680,20431,148677,422551
2,10,93,493,1283,8567,19569,207971,578566,12,118,886,1326,7960,18200,151164,417527
3,12,119,494,1103,8528,20231,208813,607030,13,148,580,1617,8227,18611,154906,427184
4,11,97,596,1105,8593,20753,198438,609128,12,118,877,1732,8201,18771,148384,438213
5,10,96,516,1109,8855,20677,209231,592990,11,115,735,1455,9095,18456,153915,429850
6,14,92,755,1360,8816,20297,210758,591495,17,111,739,1456,7896,18009,161822,428504
7,10,95,514,1231,8815,20843,213923,589989,11,114,723,1703,8659,18524,153217,421131
8,10,94,515,1558,8416,19529,200674,588101,11,113,715,1524,7784,18068,145143,418321
9,11,94,519,1131,8511,20365,215976,610124,12,112,720,1203,8166,18881,147528,423891
10,10,95,500,1109,8675,19640,202653,580543,11,112,587,1218,8269,17958,146328,416075
11,10,92,483,1255,8754,20810,200945,617409,12,111,554,1275,8204,18472,153315,422382
12,9,93,510,1175,8541,20729,225049,607344,11,112,646,1220,7982,18111,154506,439017
13,10,105,518,1094,9370,20419,200909,610882,12,294,562,1219,8445,18758,155405,426581
14,13,111,490,1266,8437,20216,206304,621832,16,139,560,1174,7563,18296,147371,440555
15,9,94,546,1155,8748,20090,219759,585219,12,113,589,1172,7905,18933,154529,430333
16,11,99,510,1145,8552,20166,207536,609975,12,129,571,1162,7761,19122,154376,432168
17,11,95,641,1244,8604,20396,214583,591673,12,112,710,1249,7810,19402,151877,430648
18,10,94,505,1177,9104,19714,221513,583797,12,116,653,1248,8522,18995,151584,430421
19,11,113,510,1382,8793,20241,208065,605294,13,168,564,1376,8229,18594,161356,409735
20,10,94,492,1117,8469,20046,208600,581710,11,113,569,1391,7736,18820,149531,423796
21,15,99,473,1121,8633,19871,213252,583406,19,127,564,1203,7626,18667,146401,413759
22,13,94,485,1307,8728,19917,203027,597046,16,112,567,1153,7762,18524,155854,423110
23,11,133,518,1100,8405,20686,214928,604865,13,296,572,1189,7739,19282,158464,439699
24,10,130,480,1107,8550,20143,206054,584636,12,161,596,1191,7910,19739,159090,427942
25,13,113,485,1109,8860,19560,202379,599265,16,147,577,1289,8392,18212,147172,412356
26,10,100,523,1076,8737,19772,216730,597681,12,122,580,1237,8123,18167,150502,414796
27,10,103,496,1073,8828,20312,208219,594467,11,111,561,1221,7885,18048,150059,444512
28,10,104,486,1105,8568,20211,206564,611747,11,113,574,1255,8502,18692,148970,424136
29,10,96,530,1086,8693,20195,199915,604664,11,118,609,1267,8226,17809,145486,433164
30,10,128,494,1520,8549,20246,205110,610258,13,150,577,1370,8096,17913,159278,420525
31,10,108,475,1110,8837,20948,213507,592172,12,125,568,1195,8462,18907,162236,437726
32,10,97,743,1288,8680,20106,205381,616419,12,120,713,1190,8623,18159,151536,438757
33,13,147,703,1108,8756,20462,206226,591173,17,364,562,1197,8000,18265,147978,435998
34,11,97,483,1109,8972,20871,202581,598875,12,120,558,1239,7992,18411,149713,417562
35,10,91,489,1160,8673,20171,230390,589643,12,110,594,1168,8002,18687,155448,432481
36,11,91,492,1140,8686,20378,200234,599098,12,110,553,1209,8082,18619,155060,422955
37,11,92,477,1121,8632,20243,215833,600443,13,111,552,1156,9359,17759,156085,445904
38,11,92,499,1122,8521,20115,207050,632236,12,110,584,1187,7831,18146,149057,427328
39,11,93,492,1095,8457,20772,225600,585996,12,113,581,1149,8142,18195,147016,441187
40,11,95,484,1115,8541,19512,198563,600809,12,114,566,1164,8151,18030,147980,424993
41,11,101,506,1412,8962,20037,203363,589793,12,115,628,1286,8382,18560,156310,421450
42,11,94,505,1169,8701,20017,209288,585388,12,114,558,1248,8025,17910,144013,441729
43,11,115,513,1114,8601,19968,202130,615974,13,342,552,1162,8001,18780,151445,438493
44,14,94,534,1155,8840,20276,198982,610966,16,118,564,1168,8058,18658,150579,431531
45,10,96,490,1112,8850,19867,215362,627400,12,116,561,1197,8233,18337,143668,419667
46,11,93,548,1128,8418,20143,202090,596406,13,116,667,1258,8398,19171,152472,445883
47,10,93,742,1131,8579,19040,216893,609597,12,118,738,1163,7811,19229,157562,437489
48,10,96,490,1178,9091,19916,207752,573251,12,119,563,1229,8609,18756,155874,414886
49,11,95,486,1177,8355,20773,205347,588833,12,116,599,1137,8107,19279,150772,408891
50,10,97,534,1160,8899,20268,202309,590130,13,120,576,1215,7978,19345,150057,413817
51,10,94,515,1128,8444,20488,202657,581117,13,118,559,1152,8079,19307,144349,414030
52,11,93,488,1350,8578,21354,203739,588671,12,118,565,1288,8249,18599,150609,407282
53,11,131,501,1174,8723,21736,207588,616050,12,331,571,1167,8096,18175,149947,431512
54,11,97,485,1108,8561,20400,203063,622696,12,119,549,1158,7865,18576,148094,439636
55,18,92,510,1132,9053,19908,197928,599043,22,116,600,1164,8589,18207,150535,428049
56,10,96,491,1154,8551,19322,203458,624602,12,116,563,1185,7707,18275,152823,423898
57,11,93,516,1112,8168,20567,202855,621927,13,117,635,1451,7768,18663,148209,442500
58,11,95,503,1128,8623,19782,216929,603608,13,117,575,1199,8167,18016,148570,423326
59,11,92,490,1316,8713,21368,212614,600493,12,111,552,1340,8174,18343,149344,425106
60,11,98,537,1169,8487,19914,215620,610845,13,121,617,1224,7708,17501,152963,451959
61,11,94,539,1123,8558,20205,201929,595336,13,116,569,1186,8098,18185,153688,446117
62,11,93,751,1130,8680,20118,199404,593687,13,121,664,1188,8109,17869,145682,431977
63,11,138,513,1382,8379,20207,197520,592848,12,385,660,1354,7679,18396,140244,408730
64,13,94,511,1109,8434,20153,199710,630522,18,119,575,1200,7986,18352,146213,446345
65,10,98,478,1102,8296,20013,197338,582340,16,115,558,1202,7573,18526,145783,412129
66,13,93,484,1090,8653,19881,210601,609161,16,116,562,1278,8320,18015,148812,415170
67,10,94,508,1115,8578,19855,202959,579406,12,123,562,1181,8579,19187,148818,422421
68,12,95,488,1097,8572,20163,207081,588050,16,118,566,1215,7662,18857,144401,431989
69,10,91,486,1131,9179,20270,215972,618339,13,111,580,1248,7792,19059,165363,431552
70,10,92,494,1072,8778,19975,206143,588310,12,110,566,1170,8903,18566,157361,423512
71,10,94,481,1326,8652,20365,221973,587404,11,111,549,1342,7644,18634,153965,445661
72,10,97,566,1096,8439,20351,195432,582702,13,115,810,1161,7876,18772,160257,427379
73,10,141,493,1115,8591,20123,202773,600143,13,354,560,1431,7874,18654,145907,431135
74,10,96,497,1315,8391,20128,203843,623941,12,115,585,1500,7875,18372,145985,428528
75,10,96,486,1139,8599,20911,204192,609052,12,113,603,1353,8002,18870,168610,427325
76,11,92,483,1102,9030,20238,210631,614690,12,108,564,1209,8290,18808,148936,438385
77,16,94,751,1107,8888,20793,202545,585961,20,111,932,1195,9332,18530,145652,430111
78,11,95,520,1116,8971,20696,210579,612049,12,115,652,1346,8235,18098,144114,428871
79,11,112,562,1173,8522,21054,222348,600594,13,118,567,1202,8314,19016,165307,430954
80,11,99,489,1109,8658,20010,210532,584403,13,122,568,1214,8031,18592,162200,418101
81,11,95,502,1289,8606,20314,199061,605127,12,117,603,1173,7927,18347,149966,455903
82,11,93,532,1119,8821,20189,222429,593852,13,110,600,1207,7805,18517,151672,434284
83,13,141,496,1160,8928,20527,213793,599918,38,380,569,1274,7629,18383,162979,419785
84,11,97,508,1097,8840,21075,204589,585429,12,119,593,1225,8268,17979,144885,409632
85,11,94,498,1305,8462,20807,200026,614322,14,114,597,1423,7961,18555,144779,444852
86,11,97,499,1101,8408,20444,203659,590567,13,112,596,1192,7787,17782,162387,444593
87,11,94,498,1075,8491,21260,199467,621932,12,116,628,1160,7543,18532,155746,425593
88,12,99,496,1092,8636,20017,197451,590387,15,119,578,1277,8096,18193,146447,410450
89,11,94,485,1120,8756,20495,195377,578934,13,110,560,1208,8136,18440,154824,409502
90,11,113,502,1130,8645,20442,204221,623428,13,187,559,1224,8131,18897,149476,446500
