repeat,lookup-100,add-100,lookup-1000,add-1000,lookup-10000,add-10000,lookup-100000,add-100000,lookup-1000000,add-1000000,lookup-10000000,add-10000000
0,2171,2045,2512,2634,2891,3017,5073,6180,13742,14394,23539,24230
1,3226,3361,3504,4057,3954,4015,6661,7126,16539,16105,26172,26553
2,3490,3537,4061,4565,4191,4413,6047,6907,14604,15723,23913,25162
3,3702,3868,4175,4589,4662,5677,6050,6162,15705,17227,24109,23866
4,4035,4277,4832,6200,5433,4959,7070,7590,14720,15707,23691,23726
5,4100,5078,5352,5470,5398,6337,6605,6906,13250,13980,23596,23928
6,5050,4724,4989,5729,5275,5943,6601,6860,13978,15578,23076,23868
7,4563,4994,5215,5658,5643,6054,7646,7863,14810,14777,22746,26568
8,4693,5052,5497,5993,6832,6144,6614,7408,15097,13959,24062,25592
9,5033,5264,6835,7291,6707,8194,6631,6773,13449,16178,24258,23674
10,4844,5274,5909,6855,6185,7023,7872,8274,14660,15684,24203,23278
11,4676,6614,5528,6221,7448,6801,7383,7947,16079,17868,24419,23591
12,6956,7275,8036,7669,7023,8240,8144,7273,16036,15168,23772,25629
13,8345,7875,6972,7552,6377,7139,8205,8883,14159,15097,23064,24420
14,6777,7388,6346,7120,8463,6796,9762,8307,15175,15540,23399,24678
15,5890,6941,8642,9271,8103,8881,9520,11953,18055,14476,24067,24228
16,6708,6015,7450,8652,6711,8075,9072,9790,16191,17405,24248,24274
17,6923,7957,8940,7865,8163,9425,9926,11389,14097,15584,24987,25220
18,7010,6470,8506,9563,7145,8320,9255,10213,15396,16931,23742,24024
19,7410,7207,8101,8724,9169,8323,10943,10959,16682,14992,23181,24700
20,9426,8538,9320,11515,8267,9322,9235,10001,17154,17325,23873,25060
21,6136,9280,8159,9183,7998,8946,11408,10853,15157,15533,25572,24572
22,9369,9069,11349,10748,10169,10750,9651,10554,15275,16276,24725,26914
23,7406,7992,9945,11376,8534,10003,11376,11388,15244,15746,23590,23851
24,7600,7897,9988,11330,9658,10512,10514,11021,16252,15470,23164,24374
25,9126,13127,9125,10093,9557,9834,10897,11866,14933,15878,23126,24400
26,7852,8969,11078,12929,11356,12740,11072,10740,17016,17271,23048,24617
27,11102,11582,10003,11113,9347,10788,10983,12638,15698,17594,25821,25203
28,9317,10086,11147,11944,10499,11767,13713,11440,16753,16010,24887,24586
