repeat,lookup-100,lookup-1000,lookup-5000,lookup-10000,lookup-50000,lookup-100000,lookup-500000,lookup-1000000,add-100,add-1000,add-5000,add-10000,add-50000,add-100000,add-500000,add-1000000
0,34,60,79,91,172,225,601,745,0,0,0,0,0,0,0,0
1,35,58,83,92,166,196,545,656,0,0,0,0,0,0,0,0
2,36,58,79,90,182,200,582,730,0,0,0,0,0,0,0,0
3,35,68,92,94,169,224,397,634,0,0,0,0,0,0,0,0
4,37,58,79,121,173,194,409,670,0,0,0,0,0,0,0,0
5,38,65,80,93,175,210,510,689,0,0,0,0,0,0,0,0
6,37,59,78,92,176,210,430,626,0,0,0,0,0,0,0,0
7,37,56,83,92,170,202,302,732,0,0,0,0,0,0,0,0
8,36,59,80,93,199,208,418,696,0,0,0,0,0,0,0,0
9,37,65,80,116,158,208,488,667,0,0,0,0,0,0,0,0
10,39,68,81,114,186,228,509,596,0,0,0,0,0,0,0,0
11,37,66,79,118,171,216,493,736,0,0,0,0,0,0,0,0
12,38,69,82,92,172,202,329,609,0,0,0,0,0,0,0,0
13,39,67,78,92,169,216,421,631,0,0,0,0,0,0,0,0
14,36,77,81,100,172,248,393,697,0,0,0,0,0,0,0,0
15,36,71,82,92,181,208,400,622,0,0,0,0,0,0,0,0
16,37,57,82,91,172,217,442,709,0,0,0,0,0,0,0,0
17,36,76,79,92,175,216,594,670,0,0,0,0,0,0,0,0
18,38,65,81,94,169,232,534,678,0,0,0,0,0,0,0,0
19,38,66,84,94,166,319,496,725,0,0,0,0,0,0,0,0
20,38,57,81,92,173,337,480,743,0,0,0,0,0,0,0,0
21,37,72,82,215,169,227,528,796,0,0,0,0,0,0,0,0
22,37,65,81,94,181,239,467,655,0,0,0,0,0,0,0,0
23,38,60,85,160,178,230,532,610,0,0,0,0,0,0,0,0
24,37,60,80,100,172,216,470,815,0,0,0,0,0,0,0,0
25,37,72,79,93,175,239,502,658,0,0,0,0,0,0,0,0
26,38,58,82,91,170,235,630,646,0,0,0,0,0,0,0,0
27,37,58,82,93,166,234,492,683,0,0,0,0,0,0,0,0
28,38,58,87,91,167,228,446,599,0,0,0,0,0,0,0,0
29,38,59,87,94,170,258,458,674,0,0,0,0,0,0,0,0
30,38,59,82,92,172,265,479,618,0,0,0,0,0,0,0,0
31,37,63,79,101,173,236,498,619,0,0,0,0,0,0,0,0
32,40,57,82,150,168,234,496,810,0,0,0,0,0,0,0,0
33,39,57,80,94,181,291,546,834,0,0,0,0,0,0,0,0
34,39,59,81,92,179,274,560,672,0,0,0,0,0,0,0,0
35,37,56,88,92,166,224,537,698,0,0,0,0,0,0,0,0
36,38,58,81,100,171,247,480,637,0,0,0,0,0,0,0,0
37,38,60,113,92,183,211,463,711,0,0,0,0,0,0,0,0
38,38,60,114,93,172,314,507,612,0,0,0,0,0,0,0,0
39,38,61,81,92,175,297,474,709,0,0,0,0,0,0,0,0
40,38,60,79,92,167,238,431,658,0,0,0,0,0,0,0,0
41,37,58,84,92,178,289,425,652,0,0,0,0,0,0,0,0
42,39,58,79,94,175,349,400,609,0,0,0,0,0,0,0,0
43,39,57,78,161,167,294,435,731,0,0,0,0,0,0,0,0
44,37,59,82,92,174,260,328,661,0,0,0,0,0,0,0,0
45,38,57,80,95,170,217,436,737,0,0,0,0,0,0,0,0
46,35,58,86,95,182,586,439,788,0,0,0,0,0,0,0,0
47,37,59,85,97,172,226,509,675,0,0,0,0,0,0,0,0
48,37,57,80,91,174,208,525,796,0,0,0,0,0,0,0,0
49,37,59,80,94,169,211,444,841,0,0,0,0,0,0,0,0
50,35,57,79,94,201,207,446,681,0,0,0,0,0,0,0,0
51,38,57,80,93,174,212,502,639,0,0,0,0,0,0,0,0
52,36,57,82,92,163,253,695,693,0,0,0,0,0,0,0,0
53,37,60,98,93,177,224,439,645,0,0,0,0,0,0,0,0
54,37,59,79,195,167,259,513,594,0,0,0,0,0,0,0,0
55,39,58,78,90,166,214,443,657,0,0,0,0,0,0,0,0
56,38,56,80,93,174,212,316,682,0,0,0,0,0,0,0,0
57,41,57,79,93,178,257,493,783,0,0,0,0,0,0,0,0
58,38,72,81,94,166,236,455,627,0,0,0,0,0,0,0,0
59,37,64,79,94,171,207,582,616,0,0,0,0,0,0,0,0
60,36,57,81,92,174,210,497,642,0,0,0,0,0,0,0,0
61,38,57,81,94,175,207,454,689,0,0,0,0,0,0,0,0
62,38,57,81,90,174,202,425,643,0,0,0,0,0,0,0,0
63,37,55,80,93,201,206,456,644,0,0,0,0,0,0,0,0
64,38,65,81,92,171,220,558,729,0,0,0,0,0,0,0,0
65,39,56,82,142,167,262,473,743,0,0,0,0,0,0,0,0
66,38,59,79,92,194,224,413,623,0,0,0,0,0,0,0,0
67,40,57,79,92,170,204,554,693,0,0,0,0,0,0,0,0
68,38,59,81,90,176,204,488,874,0,0,0,0,0,0,0,0
69,37,58,84,92,169,219,485,642,0,0,0,0,0,0,0,0
