Size,100,1000,5000,10000,50000,100000,500000,1000000
0,4330,9498,39042,62788,445798,776148,3876760,7683049
1,2445,7543,37784,67956,477855,814561,3758588,7477785
2,1886,231455,39041,78851,637513,1048878,3900575,7924141
3,1886,6565,38342,71448,342293,870224,3824518,7644426
4,1886,278179,267702,75778,351372,991120,3946531,7883424
5,1886,11803,46793,99244,311982,927425,4340786,7846896
6,1886,8940,46025,70540,302134,955989,3777654,8023037
7,1467,9149,37226,70330,341734,922326,5374439,7942300
8,6775,11524,37295,69702,294941,839774,3634550,7741715
9,1886,7613,37645,78991,304299,752681,4032087,7986649
10,1886,7753,37086,89397,307233,880701,4071826,7861215
11,1816,7124,36457,70051,312819,745139,4024613,7561245
12,1885,9149,36736,70610,294870,707005,3805311,8541051
13,1886,7543,37156,69073,295639,735710,4164437,7876510
14,1955,8032,49588,67746,320083,742834,3809501,7525207
15,1886,8172,44280,132210,309607,884542,5118260,7716363
16,5797,7613,36667,68235,304578,771748,4072874,8152383
17,1816,8241,36177,68166,302483,736408,4136011,7867849
18,1886,8242,37644,64185,299550,744998,4152983,7887963
19,1955,7543,35270,65581,319944,781805,4310405,7847456
20,1886,11524,36667,173975,299689,749189,4218353,8850518
21,1955,7962,35061,65651,299620,722929,4260678,8077723
22,1816,7752,34781,62438,305067,723557,4402805,8280961
23,2375,8521,34782,62020,302274,949705,4440101,7542807
24,2375,7193,46864,71587,306673,758757,3736587,8260218
25,978,8171,41975,210083,307721,753590,5496522,7580033
26,1956,8032,42813,66349,351163,960670,3764873,8264199
27,1885,7263,32965,75778,300388,900466,4585860,8447044
28,1397,7403,33803,70540,322389,756802,4173516,8483013
29,1886,8102,32406,69143,307163,735151,3792949,7713639
30,1886,7542,34502,264140,300598,722161,4399453,7345644
31,1467,8101,36806,80317,298711,996847,5250890,7857443
32,3841,8241,35270,80248,298782,776916,3621209,7861354
33,1885,7612,33873,77873,299620,712104,3790016,7455435
34,1397,8172,45187,78222,298502,958783,3461832,8168517
35,1886,7542,40857,187943,298642,781805,4576780,8002014
36,1955,10615,33733,74172,299760,735990,4167300,8099164
37,1466,7473,32896,73055,298153,693945,4235535,7649595
38,1885,8102,44839,72915,300947,736897,3945344,8563400
39,1886,8031,32896,71657,299550,902282,4328564,7615581
40,5239,7683,33873,195067,297594,747792,4241052,8285362
41,1886,8031,34293,72006,298921,721812,3701597,7449219
42,1886,8032,34641,70889,298153,879025,3912448,8078840
43,978,8102,34362,69632,307512,739690,3752861,7570255
44,1955,8172,54756,70610,298502,741647,5131601,7960948
45,1886,8172,42324,203378,298502,746955,4213465,7779500
46,1885,8031,39111,65791,297804,671945,4899797,8676823
47,1816,7753,36318,66699,297454,929380,4572241,7853043
48,2375,7962,38203,74032,299480,705609,3945273,8180320
49,1466,8171,38203,66699,310934,685284,4392539,8092669
50,1956,6984,40438,201423,330489,905076,4972431,8240593
51,1885,8660,45397,71937,299061,782085,4089426,7468007
52,1886,9150,37994,72425,299341,744929,3509044,7627106
53,1886,7054,36667,72006,331328,687379,3710187,7910802
54,1886,8241,50845,74731,299271,719157,3980684,8404092
55,1885,7892,37644,226356,298781,958364,3800842,7559988
56,2863,7194,37994,86254,299341,759247,3546898,8379019
57,1886,8939,36737,69632,298852,734732,4199078,7530515
58,1816,11524,37645,69282,299480,934409,4032995,7528979
59,1885,8101,37155,67886,299619,745348,3944435,7814491
60,1816,14178,36317,187385,303601,669570,3714937,8714677
61,978,10476,37924,65442,299201,682350,3908677,7898370
62,1467,9428,35200,65162,298502,725932,4785885,8198269
63,1397,8451,35689,66279,297804,943698,4213534,7602382
64,10546,8661,75429,64393,298851,737106,4067078,7812954
65,1886,7612,44140,191016,335728,738782,3930537,7682979
66,1886,8102,52311,63486,298642,965419,3735609,8384606
67,1816,8869,36667,62578,298223,745627,4168417,7583525
68,1886,9638,32895,62508,310166,788440,3746715,7389714
69,1955,10336,35479,62997,298502,963114,3971673,7448312
70,1886,10616,33873,231245,300667,768046,3665489,8471489
71,1886,9568,33454,83042,296756,704211,3824937,7871481
72,1886,7612,34781,73334,299969,735640,3841419,8322377
73,1886,8940,35270,64394,371487,743322,4022728,7672433
74,1955,7683,45746,67886,300807,923444,5003860,7824408
75,2375,8171,40857,181727,300458,808833,3916639,8124097
76,1886,7543,32406,70680,315055,692199,4135941,7700719
77,1886,7683,31429,67606,300597,748840,4011204,7626477
78,1886,8032,32826,68165,300807,756453,3982709,7824896
79,978,8172,32476,72147,373791,697227,3902670,8249882
80,2374,7682,32895,204985,305766,779989,3883533,8448511
81,1955,8520,31359,82413,388319,693804,4088518,8107614
82,1955,8032,32685,71517,315823,928332,3652987,8146866
83,1956,8031,33874,65651,301226,747373,4134335,7603569
84,1885,8661,45885,68096,294731,740249,3960778,8614245
85,978,7682,40648,188782,372744,757291,3763965,7699880
86,1886,10825,41136,64115,375467,709939,3605495,7698763
87,1956,7682,40648,64393,351163,899627,4520278,7864915
88,908,7543,34292,63975,294801,771398,3950093,7715735
89,1886,9149,41556,63486,300319,755475,3814949,7421632
90,1886,8032,37714,171112,334331,883354,4063445,8291088
91,977,6705,35270,62508,309397,787811,4059604,7655531
92,1886,8032,37575,61531,299341,745558,4736647,9508355
93,1397,8242,35060,62718,301226,741996,4010087,7690522
94,1816,7962,46794,62508,370439,700579,4578386,7790884
95,1816,7194,54896,182007,299061,858771,4675675,7798147
96,2374,8032,33873,69702,371347,733545,4126303,8778721
97,1467,7683,32896,63416,367506,753449,3791902,7695340
98,1886,8102,36108,61530,317150,923374,4236094,8169983
99,1885,8031,36667,66210,301017,721113,4085794,7811068
100,908,7683,33874,195835,299131,743602,3849940,8893610
101,2305,7613,35340,72566,303461,748351,5359633,7434134
102,1886,8521,36318,73892,310515,763018,4379198,8431889
103,1397,8102,34083,72844,403963,798846,4013649,7357168
104,2375,7962,41625,72076,344039,735430,3992068,7605804
105,1397,8241,36736,229220,368344,733474,3597743,7789976
106,978,9498,36457,82203,365480,926098,3961547,8532042
107,1885,8032,36248,65860,303461,912828,3793089,7778312
108,1467,7543,36946,67117,305207,695132,3540124,7572489
109,1396,8171,34920,67048,358846,951869,4239725,7807436
110,978,8032,35340,129347,300179,725304,3868518,8515280
111,2374,7752,35340,67816,311981,756104,4059953,7950890
112,2374,6635,36666,67676,304928,767418,3678550,8149101
113,908,8101,37505,65371,387340,741576,4264449,8169564
114,978,7543,54057,66769,330559,739202,4127280,8443273
115,978,8102,41276,168318,308699,759246,3654035,7403264
116,2305,8032,40508,64952,304020,730471,4226805,7802827
117,1467,9079,32895,66070,314635,969190,3733375,7808554
118,1886,9079,32895,63835,374909,763576,4147255,7886707
119,1886,7962,32896,63905,375817,706795,3568409,8198200
120,2375,7962,32267,204007,354446,1000758,4176798,8069132
121,1885,8171,32337,65232,296127,733126,3895826,7945303
122,1466,7473,33454,65372,312471,812884,4045985,8313089
123,1816,8101,32406,83530,340338,751633,3956309,7555938
124,1467,8032,75568,67257,305416,699113,3727717,7943557
125,2374,8660,42883,195905,303392,903958,4810329,7717830
126,1397,8172,35340,70051,299690,715525,4101020,8052719
127,2375,8172,32197,68864,299620,702396,3798048,7600636
128,4679,8451,33384,80108,374490,760643,5036617,8614874
129,2374,10336,33384,69143,375817,748212,4059325,7894459
130,2375,7613,32406,213156,300877,709170,3675197,8152802
131,1886,8101,43441,72426,354934,707493,5175181,8304429
132,2793,8102,36108,70121,317220,694783,4900076,8726131
133,1467,9010,34293,70540,299690,896415,3989344,8865395
134,1467,7683,46724,70051,310934,716294,4059185,7802477
135,2305,11803,38972,67536,372325,760085,4226805,7866453
136,2445,8940,38343,64743,307581,685354,4159827,8729484
137,1956,8171,37365,72565,320153,728795,3813623,7679277
138,1955,7682,37784,64743,400051,748910,3881020,8133177
139,1885,8032,38273,70540,461233,778313,3745317,7801709
140,1886,8102,39042,147226,314915,755964,4062747,7800942
141,1955,8032,39739,63346,310375,972892,3864677,7718668
142,2305,7753,41556,63904,308699,766929,3866632,7767906
143,1886,8031,39670,62718,380008,708751,3709698,7501251
144,2444,8101,49658,160705,377563,960599,4101090,7547696
145,1885,7613,49308,63486,366388,763577,3966365,7548674
146,1885,8032,44838,62508,306604,751075,3935356,8678499
147,1956,7613,37784,64184,310655,734452,3774861,7398654
148,978,8032,48191,66280,299131,720065,3675057,8540632
149,1956,7752,36667,168038,310165,832231,4071687,7963742
150,1885,9010,36248,66698,298922,739691,3673242,9225986
151,1886,8171,37155,77244,366528,712173,4209274,7659023
152,2374,7613,36807,72076,369252,889990,4091312,8618156
153,1885,7683,37714,77245,351093,700720,3834575,8098815
154,1886,9917,48749,140521,317500,736967,4096900,8152174
