Size,100,1000,5000,10000,50000,100000,500000,1000000
0,1955,7613,29124,55804,347950,557544,3532930,7510331
1,1886,7683,29543,56292,279156,571443,3115907,6141997
2,2305,6216,29543,57689,283417,604827,2903519,6134245
3,1955,6635,31428,58737,464167,566414,2927475,6524448
4,5169,44769,43511,58807,310166,643380,3970696,6027736
5,1886,6705,37574,94425,276851,639538,3026369,6739071
6,1956,6566,36667,59644,275734,624452,3108852,5880441
7,908,7962,30241,58667,341595,602173,3483831,6365559
8,1886,6774,30521,59366,341524,577240,3770041,5993584
9,1467,7682,30451,58666,301646,559849,3488371,6454189
10,978,7054,29543,62508,283836,579823,3432219,5962714
11,1396,6635,30521,57759,342572,558662,3458059,6363743
12,1956,6635,28984,58736,340617,550421,3764035,6012092
13,1886,6146,30451,58667,340966,568230,3591527,6044848
14,1397,7124,151067,57340,271544,547837,3087062,5860816
15,1886,6984,39041,57758,348020,569347,3914125,6196962
16,908,6845,30032,58038,279645,545043,3010516,6000568
17,1886,7054,30241,57759,278458,593094,3809921,6528640
18,1886,6146,29543,60134,280204,545043,4327865,5896714
19,1956,6775,29543,56362,320573,544554,4008969,5988975
20,1886,6216,31918,58108,359753,546929,3677502,5969698
21,1886,6285,30032,62997,362477,578497,3721501,6255490
22,977,6635,29822,56362,322527,546509,3497032,5913965
23,1886,7613,29124,56711,328324,582198,3312999,6373591
24,1955,6634,136959,59156,312052,559919,3145728,5872129
25,978,7054,36806,65302,278179,550770,3691261,6400759
26,1955,6775,36178,57619,378960,545950,4142157,5838955
27,1886,6635,28845,57619,346762,544065,3620092,6513623
28,1396,6635,29054,58876,397328,558452,3953445,5965508
29,1885,6635,29124,58178,347741,543855,3025252,6079768
30,1467,6146,31429,59156,278807,546719,3576860,6005597
31,1885,6704,30520,60483,273080,646034,3222555,6124258
32,1886,6635,29124,61111,348788,552586,3501501,5952937
33,1886,6774,28635,59505,347601,643449,3624562,6097019
34,1397,6635,137029,58876,344667,546998,3733445,5944136
35,1885,6705,35340,60483,316312,545042,3013239,6526823
36,1956,6565,28216,60623,309118,554122,3331088,5850758
37,1886,6635,28845,60064,278877,546649,2983068,6440918
38,1397,7613,30032,59715,346204,544624,3324523,5932193
39,1956,7543,29962,57689,347461,577030,3554930,6347331
40,1885,7683,29054,57829,345296,545043,3573228,5904815
41,1886,6775,29054,58597,347252,544554,3472656,6372753
42,1956,6705,29613,59086,277480,613138,3746644,6053648
43,1886,6635,28844,57340,332096,559430,3222974,6531991
44,1956,6775,146947,56781,313937,552236,3536771,5941832
45,1885,6076,32337,58109,301436,596096,3720384,6626557
46,1396,6705,30101,57410,281601,546509,3421532,5929889
47,1955,6635,28635,56781,277550,544972,2960579,6338949
48,1955,6635,30311,57131,282160,608739,2964560,5920250
49,1956,7123,30032,59086,278458,556008,2942560,6119368
50,1955,6635,30032,58597,387620,550351,2939068,5950561
51,1886,7193,30870,58597,342292,602732,3248535,6073692
52,1956,6635,30032,59993,278458,546021,2950871,5878625
53,1886,6356,29892,59854,346064,555030,2927544,6661757
54,1816,6565,175861,58667,346553,552935,4447504,5927165
55,978,7124,31010,60064,349417,545322,4033623,6091712
56,1886,7543,31499,75289,343131,577729,3604937,5828129
57,1955,6635,30311,58946,324204,544833,3501431,5988625
58,838,7543,31080,58667,308700,556497,2972452,5879044
59,1886,6565,30032,57689,304369,568300,3564568,6224829
60,1956,8101,30520,58737,278458,546510,2936693,5903349
61,978,8102,31010,56153,279994,555589,2916090,5967883
62,1466,8451,29962,56711,278807,544972,2915671,5897133
63,1955,7194,30101,56920,321271,596795,3412733,6467528
64,908,6775,91562,56921,314775,544833,2908757,5918923
65,1886,7194,38133,56223,348858,557824,2925030,6515300
66,1397,7124,36946,56293,345925,630110,3618415,5917247
67,1396,8032,30451,71099,350394,544833,3832270,6033045
68,1955,7124,28146,56223,346972,569068,3105081,5877927
69,1886,7264,30032,56501,297246,546649,3123380,6068454
70,1886,11384,30381,56502,278598,597424,2955620,5805711
71,1886,8032,28566,69283,278947,545252,3381234,6217216
72,1886,6704,29613,66000,552376,559220,3624911,5884701
73,1467,6635,28635,57270,509144,545322,3083431,6100930
74,1886,6216,144013,57689,425684,568789,2925030,5929400
75,1467,6565,36178,57620,422959,542179,3375577,6193191
76,978,6286,37435,59156,374839,543646,3046694,5963272
77,1886,7613,29054,59085,398655,562154,2917766,6005736
78,1956,6704,28565,58946,333633,677741,4154937,5897552
79,978,6634,29054,58108,456763,545461,3407425,6789706
80,1956,9638,29124,59156,359054,628643,2944236,5895806
81,1886,7613,29054,72076,444192,545462,3338003,5958803
82,3353,7683,28635,58387,436020,593722,2919792,5874085
83,1397,7613,28844,57200,438534,559430,2878934,6609446
84,1955,7054,134375,57689,406826,543855,4244125,5918365
85,1466,6216,35479,57410,549093,546789,2950731,6848374
86,1397,7613,34711,56362,441188,545322,3508206,5901533
87,1816,6635,35759,55943,449918,548745,3735051,6511179
88,1466,6286,29054,63625,417233,608668,3238757,5997007
89,1956,6705,31498,55873,381684,541341,2920350,6182505
90,1885,6775,31918,55733,461512,547418,3973630,5948257
91,1886,6496,31428,55733,507677,545042,3253355,6447693
92,1885,6775,30102,55874,445658,576052,2927125,5976892
93,1886,6635,30032,56153,450408,545042,2920979,5961666
94,1886,7193,142965,55943,458230,544554,2929848,5859908
95,1467,6705,36667,56292,380147,617608,3078960,5976543
96,1955,6635,28146,55734,459696,545951,2954084,5922904
97,1886,6635,29054,57758,439652,559919,3170313,6073064
98,1466,6565,29473,55804,498877,635977,3164725,5811577
99,1816,7263,31359,56222,475411,545532,3071138,6485966
100,1956,6705,30102,57689,384966,539385,2945912,5945882
101,978,7543,30032,57829,432877,547417,2985233,6613916
102,1467,6216,29962,61739,463957,585761,3036357,5952937
103,1886,6635,29054,57409,429246,565995,3022878,6423389
104,1886,6775,139474,60553,517385,560897,2947868,5926187
105,1885,6635,29822,59156,502090,547208,2932014,6389305
106,1397,6775,29543,72565,490217,598261,4022588,6017400
107,1886,6705,29543,57619,513125,559430,3776746,6648976
108,1886,6705,29054,56851,377563,581780,2988376,5978917
109,1815,6635,29543,57690,325601,577589,4056601,6030530
110,1886,6286,29333,57619,353956,554611,3005417,5987438
111,1396,6495,29543,57200,421702,614396,3365240,6167489
112,1467,6705,29543,58597,408224,565856,3422231,5960689
113,977,6635,28984,56292,464445,548744,3383539,6688716
114,1396,6705,123061,58248,434624,623754,3218643,5940644
115,1397,6705,36318,57130,499995,565855,2974268,6737186
116,978,6635,36387,57270,439303,544833,2960928,5857951
117,1467,6705,28635,56362,457951,570535,4317389,6525845
118,1396,6565,29124,67676,440420,565785,3542358,5984085
119,1396,6705,29124,56432,476808,555310,2948077,6713300
120,908,6635,29054,58457,405080,554262,3614574,6253045
121,1886,6705,29124,71029,384058,562503,3297425,6024035
122,1886,6705,37505,57690,373163,544833,3729743,6012022
123,1466,6635,28705,56083,430433,546300,3038312,6273509
124,1397,6775,84788,57828,437138,627037,2915182,5874714
125,1956,6635,36247,60063,483094,593023,2933201,6078371
126,1397,9219,28635,57759,435601,547627,3152294,5982968
127,1886,7054,28635,58178,418560,544763,2940674,6158759
128,1397,6774,29054,61810,497411,559220,2918884,5961038
129,2375,8172,28844,57200,428896,545532,4377313,5989324
130,2863,6635,28566,58248,395512,544973,3557444,5974517
131,907,7543,32406,59994,412134,554821,2933621,6661268
132,1397,6635,28635,57759,445030,554331,3327316,6169166
133,1396,6635,29403,58597,448941,633531,2977271,7025421
134,1397,8032,94286,58457,416534,551328,3172338,6031158
135,978,8032,30940,59226,464306,546230,3213894,7116285
136,1397,6634,30450,56991,410947,544065,3014217,5827432
137,1467,7682,29054,56223,373931,557405,3200415,6343700
138,1886,6635,29892,57200,492452,544414,3705718,5820098
139,978,6775,30521,56851,395861,576052,2983906,6349287
140,1956,6705,30032,57480,521785,544484,3810550,6011603
141,1885,6705,30032,56152,397398,623195,2953316,6016422
142,1467,6705,31079,56223,407734,544135,2938859,5924511
143,1467,6705,30800,55874,498458,545043,3729603,6355782
144,1886,6565,44768,55733,435392,551049,3680155,5996797
145,978,6635,39670,55804,437067,561595,3010237,6679078
146,1815,7683,37016,55734,451315,545950,2962534,6007762
147,1886,6704,30521,57340,477506,556637,4273808,6008600
148,977,6705,31499,56711,378261,606643,2982929,5880301
149,908,6635,29962,76267,433855,545741,3539076,6510970
150,908,6216,29962,58667,425544,551468,2956807,6016841
151,1886,6985,30031,58876,436160,546509,2930198,6168537
152,1396,6635,29613,59644,433436,570255,3900994,5962714
153,1956,6635,29193,60553,470312,548325,3506320,5966416
154,1466,6705,81155,61251,371836,578846,3160815,5877857
155,1955,7194,36597,58039,376725,546509,2939906,6330848
156,1397,7054,29333,57550,501392,606084,2935226,5978777
157,1885,6495,29962,57270,446286,540782,3861813,6773294
158,1956,6705,30102,57130,451246,627246,2977900,5948397
159,1885,6565,28496,57131,348229,554261,3191824,6074739
160,978,6705,28985,57340,376516,566973,3198110,5922765
161,2375,6285,29054,57549,400121,545462,2955202,6333712
162,1886,6286,28844,57480,384757,547696,3793927,5918086
163,1885,6635,30101,77873,490776,560198,2965398,6809332
164,1397,6705,33804,56781,446776,603430,2967843,6050016
165,1955,8032,28705,57620,441678,546649,3542848,6134524
166,3283,6634,28915,57200,448103,546859,3066808,5856067
167,1885,6635,28565,57270,443912,545043,3505202,6430024
168,1397,7194,30031,56152,434973,559639,2952687,5984714
169,978,6705,29124,56082,457182,544623,3349456,6684665
170,1397,7752,28565,56222,437836,551747,3438154,5909495
171,1885,7543,28705,58666,403474,563271,2986211,6362067
172,1955,7752,28845,60064,440350,550979,3642790,5846079
173,1397,6565,29124,63905,464306,604547,4188671,6391401
174,1397,6634,67747,59016,440001,607411,2937881,6038841
175,2305,7613,31499,59435,433994,556287,3377323,6704639
176,1467,8102,29124,61600,383570,567322,4195376,5961597
177,1466,7054,29613,75010,430223,564598,3429565,6647439
178,1397,6705,28914,58667,396770,611252,2923493,5915292
179,1816,6635,32896,58248,488191,609925,3664720,6165115
180,1885,7682,31988,57131,447265,552237,2959322,6014955
181,1956,7683,31009,56991,443144,599449,3454219,6321629
182,1886,7124,30032,65093,412554,590439,3020642,5913057
183,1956,6845,32197,57759,432318,542668,2935715,6698144
184,1885,6565,69562,55943,433087,555379,3376974,5973469
185,1397,7263,30521,56152,445659,544345,3132319,6693256
186,1956,7543,29612,55803,433087,596865,2974478,5883375
187,1956,7682,32477,56572,443842,546230,3334440,5991210
188,1885,8032,31987,55733,368623,555309,2931246,5916829
189,1816,7543,29403,57131,430433,567741,2916579,6084797
190,1885,6635,29124,57200,433226,595817,3260548,5994422
191,1886,6635,30032,56711,431132,550490,4165763,6441477
192,1886,6775,29543,71238,460255,583805,2949893,6018308
193,1955,7543,29613,55314,364363,545532,3306923,6604906
194,1955,6635,120336,56991,463957,547068,3383679,5920251
195,1886,7542,29333,56222,479671,557056,3582866,6728805
196,1886,6635,30102,56781,455017,554541,2986420,5798796
197,1885,6704,30032,70680,527094,549932,2924680,6695770
198,1956,7054,29543,58876,411157,570744,3231424,5957545
199,1885,6285,29543,59226,454668,550770,2941373,6183832
200,1467,55454,29194,58597,450687,546090,2967563,5905653
201,1886,9010,30032,57270,455087,583595,4007852,6855148
202,2794,8032,29823,76197,542878,590649,2979227,6049317
203,1886,9009,29124,57200,425963,643659,2949544,5944695
204,2444,7543,103086,56781,398934,568440,3238688,5883793
205,1886,8102,36667,58667,464166,548116,3615273,6312620
206,1955,8940,36597,57619,438534,572001,3127850,5970187
207,1886,7613,29124,56292,459207,579335,2944516,6016842
208,1886,8172,29123,57200,433855,560757,2930198,5929889
209,1885,9149,28635,56851,372395,614675,4194258,6347470
210,1956,8171,28565,57690,540713,556008,3627425,5818631
211,1955,8940,29054,58597,434903,565925,3258592,6196683
212,1886,8101,28844,57689,465982,546999,2968332,5881139
213,1397,7892,29054,57131,374001,567532,3431869,6647090
214,1885,7264,81994,57689,447963,551677,3486416,5954124
215,1886,6565,38692,59016,452712,545461,2981881,6574595
216,1886,6705,32197,57759,443144,578846,3292676,5930936
217,1467,6705,29054,72984,484001,560687,2906801,6436798
218,1886,6565,29054,58667,446287,544065,3259780,5975146
219,1956,6775,28566,62997,435951,556776,2947589,6283985
220,3353,6496,28635,57270,534776,610065,2951290,5866333
221,1886,6704,31778,58876,435252,615512,3398136,6197172
222,1396,6635,29543,59365,348020,555589,2924891,5912568
223,1956,6705,31918,59086,381614,544554,2968821,6158620
224,1397,7682,44420,58109,337684,628364,4265148,5862282
225,1956,6705,38133,57479,369321,591208,3041875,6518373
226,1885,6634,30521,58178,423309,544065,2904078,5983457
227,1885,7543,31010,58108,546928,551398,3372365,6205274
228,1397,6216,30520,60134,491893,614744,3169894,5920460
229,1956,7613,30031,57410,452572,579195,2971056,6326449
230,1885,6146,30451,57619,480439,547906,3007582,5953355
231,1886,7054,32476,56292,429664,540573,3737635,6138715
232,1955,6286,31289,70750,377703,559639,2920280,5959432
233,1466,6076,31010,56292,505722,545462,3271863,6736698
234,1886,6635,86603,55594,364084,566484,2980833,6066359
235,1955,6635,31010,56293,446566,544624,2938090,6124886
236,1886,6845,31428,55803,469335,549932,3854968,5986670
237,1885,6146,29543,71587,438045,599100,3809222,5993584
238,1816,8102,30102,56153,455296,580732,2990960,5983038
239,1885,6635,29333,55873,509493,552725,3679666,6125305
