Size,100,500,1000,2500,5000,7500,10000,25000,50000,75000,100000,250000,375000,500000,625000,750000,875000,1000000
0,2863,3911,9569,12991,26470,62858,50984,207639,281811,380147,506491,1249256,1889633,6779728,3155511,3813627,4484595,5033411
1,978,3771,9359,13270,26330,60273,52520,127111,255201,388250,519622,1252049,1866794,2489990,3132184,3744764,4451071,5252364
2,1885,3911,9568,14247,43512,61041,52102,126414,252408,662028,514243,1247370,1911563,2511083,3139447,3755659,4473281,4997372
3,1956,3352,8730,13409,26400,64254,52451,763159,260020,385525,518085,1378532,1881252,2500467,3116958,3752516,4704736,5148369
4,1886,3841,9568,14178,27238,74242,158820,133747,259042,447196,502370,1246043,1876922,2533082,3167104,3773050,4468462,5025937
5,1397,3842,9848,14387,27239,66698,51543,421843,254503,423240,500904,1248277,1882719,2500187,3127434,3762643,4744127,5007988
6,1956,3771,9569,13270,26260,62438,52101,212877,250941,436649,504326,1264271,1907582,2504238,3122616,3751748,4407630,5110656
7,1467,3352,9149,14388,25702,64393,53777,452922,268122,776987,508516,1330831,1912680,3051656,3129250,3775075,4445834,5035156
8,908,3771,9639,14597,25772,63905,52312,203937,255969,391183,511589,1261478,1906883,3013174,3155580,3753494,4463363,5010503
9,1885,3841,8870,14248,26190,68165,157073,768746,253315,385455,502161,1257008,1889214,2497883,3160330,3750561,4669606,5004426
10,1466,3213,9568,14108,27168,60763,53289,126622,257157,390205,502370,1247370,1875525,2519324,3124012,3793513,4541237,5085233
11,978,2794,9498,13689,27447,62019,53568,515012,304369,382312,510961,1260919,3067231,2502073,3174997,3784853,4533415,5016020
12,1886,3352,9219,14318,28076,65582,53778,127391,285721,413532,509214,1248348,1905068,2504797,3126177,3782129,4592082,5021956
13,1397,3771,9987,14527,26400,39112,52172,141290,259601,397678,509075,1258824,1880204,2507731,3165638,3743367,4860762,5028172
14,1885,3841,9847,14387,27658,39041,152115,127251,254782,454249,506491,1247789,1868610,2503121,3128902,3755729,4400506,5043538
